,trial_string,condition
0,cancer_20201202_slip1_area2_long_acq_corr_long_acqu_blue_0.03447_green_0.05768_1,standard
1,cancer_20201203_slip1_area1_long_acq_corr_corr_long_acqu_blue_0.0551_green_0.0832_heated_to_37_1,standard
2,cancer_20201207_slip1_area1_long_acq_corr_corr_long_acqu_blue_0.03465_green_0.07063_heated_to_37_1,standard
3,cancer_20201207_slip2_area3_long_acq_long_acqu_blue_0.02805_green_0.06980_heated_to_37_1,standard
4,cancer_20201207_slip2_area4_long_acq_corr_long_acqu_blue_0.02805_green_0.06980_heated_to_37_1,standard
5,cancer_20201208_slip1_area1_long_acq_long_acqu_blue_0.02704_green_0.06940_heated_to_37_1,standard
6,cancer_20201215_slip1_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
7,cancer_20201215_slip1_area2_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
8,cancer_20201215_slip2_area1_long_acq_corr_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
9,cancer_20201215_slip2_area2_long_acq_corr_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
10,cancer_20201216_slip1_area2_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
11,cancer_20201216_slip2_area1_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_1,standard
12,cancer_20201217_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
13,cancer_20201217_slip2_area1_long_acq_foc_correct_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
14,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,standard
15,cancer_20201218_slip1_area4_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_TTX_washout_1,standard
16,cancer_20201218_slip1_area5_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_TTX_washout_1,standard
17,cancer_20201218_slip2_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
18,cancer_20201218_slip2_area5_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_TTX_washout_1,standard
19,cancer_20201218_slip3_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
20,cancer_20201219_slip2_area1_long_acq_corr_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
21,cancer_20201219_slip2_area2_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_1,standard
22,cancer_20201219_slip1_area3_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_1,1um_TTX
23,cancer_20201219_slip1_area4_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_1,1um_TTX
24,cancer_20201219_slip2_area3_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_1,1um_TTX
25,cancer_20201219_slip2_area4_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_1,1um_TTX
26,cancer_20201219_slip2_area5_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_2,1um_TTX
27,cancer_20201219_slip2_area6_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_1uM_TTX_1,1um_TTX
28,cancer_20201216_slip1_area3_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_with_TTX_1,10um_TTX
29,cancer_20201216_slip1_area4_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_with_TTX_1,10um_TTX
30,cancer_20201216_slip2_area2_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_with_TTX_1,10um_TTX
31,cancer_20201216_slip2_area4_long_acq_long_acq_blue_0.0296_green_0.0765_heated_to_37_with_TTX_1,10um_TTX
32,cancer_20201217_slip1_area2_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
33,cancer_20201217_slip2_area2_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
34,cancer_20201217_slip2_area3_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
35,cancer_20201217_slip2_area4_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
36,cancer_20201218_slip1_area2_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
37,cancer_20201218_slip1_area3_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
38,cancer_20201218_slip3_area2_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
39,cancer_20201218_slip3_area3_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_37_with_TTX_1,10um_TTX
40,cancer_20210119_slip1_area3_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1,MCF10A
41,cancer_20210119_slip1_area4_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1,MCF10A
42,cancer_20210119_slip1_area5_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1,MCF10A
43,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1,MCF10A
44,cancer_20210119_slip2_area3_long_acq_corr_corr_long_acq_blue_0.0454_green_0.0671_1,MCF10A
45,cancer_20210119_slip2_area4_long_acq_long_acq_blue_0.0454_green_0.0671_1,MCF10A
46,cancer_20210119_slip3_area1_long_acq_long_acq_blue_0.0454_green_0.0671_1,MCF10A
47,cancer_20210119_slip3_area2_long_acq_long_acq_blue_0.0454_green_0.0671_1,MCF10A
48,cancer_20210119_slip4_area3_long_acq_long_acq_blue_0.0454_green_0.0671_1,MCF10A
49,cancer_20210312_slip4_area1_long_acq_corr_MCF10A_36deg_long_acq_blue_0.0425_green_0.097_1,MCF10A
50,cancer_20210312_slip4_area4_long_acq_corr_MCF10A_36deg_long_acq_blue_0.0425_green_0.097_1,MCF10A
51,cancer_20210313_slip2_area2_long_acq_MCF10A_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A
52,cancer_20210313_slip2_area3_long_acq_MCF10A_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A
53,cancer_20210313_slip2_area4_long_acq_MCF10A_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A
54,cancer_20210313_slip4_area2_long_acq_corr_MCF10A_37deg_long_acq_blue_0.039_green_0.04734_1,MCF10A
55,cancer_20210313_slip4_area3_long_acq_corr_MCF10A_37deg_long_acq_blue_0.039_green_0.04734_1,MCF10A
56,cancer_20210313_slip6_area1_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
57,cancer_20210313_slip6_area2_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
